Epoch,Loss,Total,Valid,Valid_rate,Unique,Unique_rate,Similarity
481,0.006,1376,1240,90.12,978,78.87,0.249
482,0.006,1376,1246,90.55,997,80.02,0.248
483,0.006,1376,1234,89.68,985,79.82,0.250
484,0.006,1376,1244,90.41,987,79.34,0.250
485,0.007,1376,1236,89.83,996,80.58,0.247
486,0.008,1376,1234,89.68,979,79.34,0.251
487,0.007,1376,1248,90.70,957,76.68,0.245
488,0.006,1376,1248,90.70,985,78.93,0.245
489,0.006,1376,1222,88.81,972,79.54,0.250
490,0.006,1376,1244,90.41,981,78.86,0.242
491,0.006,1376,1238,89.97,961,77.63,0.245
492,0.006,1376,1224,88.95,949,77.53,0.251
493,0.006,1376,1245,90.48,958,76.95,0.252
494,0.005,1376,1243,90.33,956,76.91,0.242
495,0.005,1376,1235,89.75,961,77.81,0.248
496,0.005,1376,1249,90.77,961,76.94,0.245
497,0.006,1376,1237,89.90,963,77.85,0.247
498,0.007,1376,1254,91.13,995,79.35,0.246
499,0.007,1376,1258,91.42,1010,80.29,0.252
500,0.006,1376,1260,91.57,978,77.62,0.256
